parent_method,nkr_30,aji_30,T_30,C_30,nh_30,panel,random_triplet,spearman,k-nearest,centroid_distance,Pearson,method_id,score,rank,Macosko,Zheng-68 k,Zheng-73 k,local_score,global_score,structure_mean,large_dataset_completed_n,C_10,C_20,Mrre_false_10,Mrre_false_20,Mrre_false_30,Mrre_missing_10,Mrre_missing_20,Mrre_missing_30,T_10,T_20,aji_10,aji_20,knn_10,knn_20,knn_30,nh_10,nh_20,nkr_10,nkr_20,svm,source,AUC,Qglobal,method_raw,metric,value,dataset_category,dataset_id,structure_table,raw_metric_value
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,nh_30,0.822,VASC,Xin,dr3,0.822
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,nkr_30,0.912,VASC,yan,dr1,0.912
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,nkr_30,0.937,VASC,yan,dr1,0.937
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,nkr_30,0.32,VASC,yan,dr1,0.32
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,nkr_30,0.81,VASC,yan,dr1,0.81
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,nkr_30,0.935,VASC,yan,dr1,0.935
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,nkr_30,0.758,VASC,yan,dr1,0.758
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,nkr_30,0.791,VASC,yan,dr1,0.791
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,nkr_30,0.869,VASC,yan,dr1,0.869
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,nkr_30,0.932,VASC,yan,dr1,0.932
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,nkr_30,0.904,VASC,yan,dr1,0.904
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,nkr_30,0.644,VASC,yan,dr1,0.644
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,nkr_30,0.893,VASC,yan,dr1,0.893
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,nkr_30,0.918,VASC,yan,dr1,0.918
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,nkr_30,0.941,VASC,yan,dr1,0.941
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,nkr_30,0.873,VASC,yan,dr1,0.873
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,nkr_30,0.921,VASC,yan,dr1,0.921
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,nkr_30,0.927,VASC,yan,dr1,0.927
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,nkr_30,0.907,VASC,yan,dr1,0.907
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,nkr_30,0.933,VASC,yan,dr1,0.933
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,nkr_30,0.916,VASC,yan,dr1,0.916
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,nkr_30,0.944,VASC,yan,dr1,0.944
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,nkr_30,0.932,VASC,yan,dr1,0.932
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,nkr_30,0.921,VASC,yan,dr1,0.921
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,nkr_30,0.519,VASC,yan,dr1,0.519
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,nkr_30,0.569,VASC,yan,dr1,0.569
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,nkr_30,0.93,VASC,yan,dr1,0.93
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,nkr_30,0.929,VASC,yan,dr1,0.929
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,nkr_30,0.873,VASC,yan,dr1,0.873
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,nkr_30,0.884,VASC,yan,dr1,0.884
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,aji_30,0.777,VASC,yan,dr1,0.777
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,aji_30,0.814,VASC,yan,dr1,0.814
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,aji_30,0.193,VASC,yan,dr1,0.193
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,aji_30,0.659,VASC,yan,dr1,0.659
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,aji_30,0.8,VASC,yan,dr1,0.8
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,aji_30,0.603,VASC,yan,dr1,0.603
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,aji_30,0.642,VASC,yan,dr1,0.642
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,aji_30,0.715,VASC,yan,dr1,0.715
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,aji_30,0.82,VASC,yan,dr1,0.82
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,aji_30,0.783,VASC,yan,dr1,0.783
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,aji_30,0.469,VASC,yan,dr1,0.469
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,aji_30,0.771,VASC,yan,dr1,0.771
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,aji_30,0.804,VASC,yan,dr1,0.804
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,aji_30,0.812,VASC,yan,dr1,0.812
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,aji_30,0.721,VASC,yan,dr1,0.721
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,aji_30,0.806,VASC,yan,dr1,0.806
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,aji_30,0.806,VASC,yan,dr1,0.806
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,aji_30,0.76,VASC,yan,dr1,0.76
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,aji_30,0.798,VASC,yan,dr1,0.798
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,aji_30,0.783,VASC,yan,dr1,0.783
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,aji_30,0.841,VASC,yan,dr1,0.841
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,aji_30,0.829,VASC,yan,dr1,0.829
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,aji_30,0.773,VASC,yan,dr1,0.773
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,aji_30,0.32,VASC,yan,dr1,0.32
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,aji_30,0.399,VASC,yan,dr1,0.399
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,aji_30,0.804,VASC,yan,dr1,0.804
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,aji_30,0.814,VASC,yan,dr1,0.814
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,aji_30,0.75,VASC,yan,dr1,0.75
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,aji_30,0.764,VASC,yan,dr1,0.764
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,random_triplet,0.793,VASC,yan,dr1,0.793
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,random_triplet,0.84,VASC,yan,dr1,0.84
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,random_triplet,0.467,VASC,yan,dr1,0.467
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,random_triplet,0.827,VASC,yan,dr1,0.827
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,random_triplet,0.878,VASC,yan,dr1,0.878
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,random_triplet,0.751,VASC,yan,dr1,0.751
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,random_triplet,0.78,VASC,yan,dr1,0.78
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,random_triplet,0.649,VASC,yan,dr1,0.649
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,random_triplet,0.902,VASC,yan,dr1,0.902
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,random_triplet,0.891,VASC,yan,dr1,0.891
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,random_triplet,0.651,VASC,yan,dr1,0.651
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,random_triplet,0.802,VASC,yan,dr1,0.802
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,random_triplet,0.8,VASC,yan,dr1,0.8
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,random_triplet,0.887,VASC,yan,dr1,0.887
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,random_triplet,0.764,VASC,yan,dr1,0.764
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,random_triplet,0.847,VASC,yan,dr1,0.847
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,random_triplet,0.907,VASC,yan,dr1,0.907
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,random_triplet,0.818,VASC,yan,dr1,0.818
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,random_triplet,0.762,VASC,yan,dr1,0.762
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,random_triplet,0.84,VASC,yan,dr1,0.84
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,random_triplet,0.907,VASC,yan,dr1,0.907
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,random_triplet,0.896,VASC,yan,dr1,0.896
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,random_triplet,0.756,VASC,yan,dr1,0.756
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,random_triplet,0.593,VASC,yan,dr1,0.593
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,random_triplet,0.613,VASC,yan,dr1,0.613
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,random_triplet,0.869,VASC,yan,dr1,0.869
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,random_triplet,0.864,VASC,yan,dr1,0.864
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,random_triplet,0.871,VASC,yan,dr1,0.871
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,random_triplet,0.882,VASC,yan,dr1,0.882
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,spearman,0.736,VASC,yan,dr1,0.736
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,spearman,0.787,VASC,yan,dr1,0.787
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,spearman,0.005,VASC,yan,dr1,0.005
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,spearman,0.807,VASC,yan,dr1,0.807
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,spearman,0.902,VASC,yan,dr1,0.902
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,spearman,0.65,VASC,yan,dr1,0.65
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,spearman,0.703,VASC,yan,dr1,0.703
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,spearman,0.524,VASC,yan,dr1,0.524
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,spearman,0.911,VASC,yan,dr1,0.911
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,spearman,0.914,VASC,yan,dr1,0.914
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,spearman,0.531,VASC,yan,dr1,0.531
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,spearman,0.839,VASC,yan,dr1,0.839
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,spearman,0.795,VASC,yan,dr1,0.795
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,spearman,0.906,VASC,yan,dr1,0.906
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,spearman,0.851,VASC,yan,dr1,0.851
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,spearman,0.912,VASC,yan,dr1,0.912
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,spearman,0.916,VASC,yan,dr1,0.916
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,spearman,0.884,VASC,yan,dr1,0.884
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,spearman,0.756,VASC,yan,dr1,0.756
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,spearman,0.888,VASC,yan,dr1,0.888
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,spearman,0.943,VASC,yan,dr1,0.943
t-SNE,,,,,,real_metric_records,,,,,,t-SNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TSNE,spearman,0.922,VASC,yan,dr1,0.922
SPDR,,,,,,real_metric_records,,,,,,SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SPDR,spearman,0.654,VASC,yan,dr1,0.654
SIMLR,,,,,,real_metric_records,,,,,,SIMLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SIMLR,spearman,0.305,VASC,yan,dr1,0.305
SSNMDI,,,,,,real_metric_records,,,,,,SSNMDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SSNMDI,spearman,0.354,VASC,yan,dr1,0.354
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP50,spearman,0.917,VASC,yan,dr1,0.917
UMAP,,,,,,real_metric_records,,,,,,Parametric UMAP 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ParametricUMAP200,spearman,0.898,VASC,yan,dr1,0.898
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS,spearman,0.864,VASC,yan,dr1,0.864
SQuaD-MDS,,,,,,real_metric_records,,,,,,SQuaD-MDS hybrid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SQuaD_MDS_hybrid,spearman,0.917,VASC,yan,dr1,0.917
VASC,,,,,,real_metric_records,,,,,,VASC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VASC,k-nearest,0.917,VASC,yan,dr1,0.917
ZIFA,,,,,,real_metric_records,,,,,,ZIFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ZIFA,k-nearest,0.917,VASC,yan,dr1,0.917
DRA,,,,,,real_metric_records,,,,,,DRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DRA,k-nearest,0.417,VASC,yan,dr1,0.417
DREAM,,,,,,real_metric_records,,,,,,DREAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,DREAM,k-nearest,1.0,VASC,yan,dr1,1.0
scvis,,,,,,real_metric_records,,,,,,scvis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scvis,k-nearest,0.917,VASC,yan,dr1,0.917
VAE,,,,,,real_metric_records,,,,,,VAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,VAE,k-nearest,1.0,VASC,yan,dr1,1.0
UMAP,,,,,,real_metric_records,,,,,,UMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,UMAP,k-nearest,0.583,VASC,yan,dr1,0.583
EDGE,,,,,,real_metric_records,,,,,,EDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,EDGE,k-nearest,0.667,VASC,yan,dr1,0.667
GLMPCA,,,,,,real_metric_records,,,,,,GLMPCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,GLMPCA,k-nearest,0.917,VASC,yan,dr1,0.917
IVIS,,,,,,real_metric_records,,,,,,IVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,ivis,k-nearest,0.917,VASC,yan,dr1,0.917
PaCMAP,,,,,,real_metric_records,,,,,,PaCMAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PaCMAP,k-nearest,0.917,VASC,yan,dr1,0.917
pCMF,,,,,,real_metric_records,,,,,,pCMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,pCMF,k-nearest,0.833,VASC,yan,dr1,0.833
PHATE,,,,,,real_metric_records,,,,,,PHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PHATE,k-nearest,0.667,VASC,yan,dr1,0.667
SAUCIE,,,,,,real_metric_records,,,,,,SAUCIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SAUCIE,k-nearest,1.0,VASC,yan,dr1,1.0
SCDRHA,,,,,,real_metric_records,,,,,,SCDRHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,SCDRHA,k-nearest,0.917,VASC,yan,dr1,0.917
scGAE,,,,,,real_metric_records,,,,,,scGAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGAE,k-nearest,0.917,VASC,yan,dr1,0.917
scGBM,,,,,,real_metric_records,,,,,,scGBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scGBM,k-nearest,0.917,VASC,yan,dr1,0.917
scScope,,,,,,real_metric_records,,,,,,scScope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,scScope,k-nearest,0.917,VASC,yan,dr1,0.917
tGPLVM,,,,,,real_metric_records,,,,,,tGPLVM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,tGPLVM,k-nearest,0.917,VASC,yan,dr1,0.917
TriMap,,,,,,real_metric_records,,,,,,TriMap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,TriMap,k-nearest,1.0,VASC,yan,dr1,1.0
PCA,,,,,,real_metric_records,,,,,,PCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,structure_metric_raw,,,PCA,k-nearest,1.0,VASC,yan,dr1,1.0
